ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION,District Council - Map,Council Ward,:@computed_region_crxq_iug7,:@computed_region_5wjj_5at9
372 MARYLAND AVE E,12/18/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.9771671382297, -93.084805286211)",13,3,185,68
146 WATER ST W,12/18/2018 12:00:00 AM,Mixed Use,2,2,3,37100,"(44.9373469195461, -93.093236784582)",7,5,174,18
1076 WESTERN AVE N,12/18/2018 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.973691994293, -93.11591169367)",3,3,157,69
1503 VAN BUREN AVE,12/13/2018 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.9621337561822, -93.164093732893)",4,4,34,57
393 MARSHALL AVE,12/13/2018 12:00:00 AM,Commercial,1,1,8,33600,"(44.9490108314643, -93.116837703948)",9,7,86,41
213 BATES AVE,12/12/2018 12:00:00 AM,Commercial,2,7,4,34400,"(44.9528003891497, -93.065818681958)",15,2,187,36
884 WESTMINSTER ST,12/12/2018 12:00:00 AM,Single Family Residential,2,5,5,33000,"(44.9678339667302, -93.085293899558)",13,3,186,50
1127 RAYMOND AVE,12/07/2018 12:00:00 AM,Multi-family Residential,2,4,12,30100,"(44.9757492477644, -93.19262962134)",1,4,4,74
121 HATCH AVE,12/05/2018 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.9712352648698, -93.105044664115)",3,3,162,62
540 FOREST ST,11/30/2018 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.9575007484823, -93.060709712134)",15,2,196,42
339 JESSAMINE AVE E,11/30/2018 12:00:00 AM,Duplex,2,5,5,30900,"(44.9747362032237, -93.085990774877)",13,3,185,68
1793 MARYLAND AVE E,11/30/2018 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.9776468790929, -93.024658053483)",14,1,149,80
727 SHERBURNE AVE,11/27/2018 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.9567902652595, -93.130832807721)",10,7,67,47
600 BEAUMONT ST,11/27/2018 12:00:00 AM,Duplex,1,7,5,33000,"(44.9615505619281, -93.07542168241)",13,2,188,50
670 PAYNE AVE,11/27/2018 12:00:00 AM,Commercial,1,7,5,33000,"(44.961418357272, -93.075791547045)",13,2,188,50
664 PAYNE AVE,11/27/2018 12:00:00 AM,Commercial,1,7,5,33000,"(44.9612825881706, -93.075991310576)",13,2,188,50
608 BEAUMONT ST,11/27/2018 12:00:00 AM,Duplex,2,7,5,33000,"(44.9615506487986, -93.075326172698)",13,2,188,50
874 HOWELL ST N,11/20/2018 12:00:00 AM,Duplex,2,4,11,32000,"(44.9674359737442, -93.180838149319)",4,4,5,55
2200 LARPENTEUR AVE E,11/20/2018 12:00:00 AM,Commercial,2,6,2,30702,"(44.9908781526989, -93.00838019153)",14,1,150,80
1520 CONCORDIA AVE,11/20/2018 12:00:00 AM,Single Family Residential,1,1,13,33400,"(44.9510817046758, -93.164380775705)",17,7,33,37
1369 WYNNE AVE,11/19/2018 12:00:00 AM,Single Family Residential,3,4,10,30201,"(44.9756967100957, -93.158024692367)",2,4,36,77
850 WHITE BEAR AVE N,11/16/2018 12:00:00 AM,Commercial,1,7,2,31801,"(44.9669877449914, -93.025133824385)",14,2,146,63
107 VIRGINIA ST,11/14/2018 12:00:00 AM,Multi-family Residential,1,1,8,35500,"(44.9445483503274, -93.11497620853)",9,7,96,31
585 JEFFERSON AVE,11/09/2018 12:00:00 AM,Single Family Residential,2,2,9,36900,"(44.9307683691986, -93.124168487809)",11,5,90,16
1656 GURNEY ST,11/09/2018 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.9911548696491, -93.09999670961)",3,3,160,75
908 JEFFERSON AVE,11/09/2018 12:00:00 AM,Single Family Residential,2,2,9,36700,"(44.9304301859259, -93.138456564001)",11,5,106,6
1735 REANEY AVE,11/08/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.9642354941319, -93.027049092676)",14,2,139,63
995 REANEY AVE,11/06/2018 12:00:00 AM,Duplex,2,7,4,31701,"(44.9640829944405, -93.058632008706)",15,2,195,58
912 YORK AVE,11/06/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9683772189567, -93.061993037937)",13,1,195,65
933 ALBEMARLE ST,11/06/2018 12:00:00 AM,Single Family Residential,2,1,6,31300,"(44.9694446561118, -93.107396418766)",3,7,156,60
1639 BEECH ST,11/02/2018 12:00:00 AM,Single Family Residential,2,7,1,34602,"(44.9623630254594, -93.031258065995)",16,2,140,46
