Date,City Code,City Name,Ward Code,Ward Name,Precinct Code,Precinct Name,Congressional District,State Senate District,State House District,County Commissioner District,Judicial District,Soil and Water Conservation District,Hospital District,Voter Count,Location
02/01/2019 12:00:00 AM,150,Shoreview,,,1580,SHOREVIEW P-1,4,42,42B,01,02,,,1392,"(45.03946796, -93.12660951)"
02/01/2019 12:00:00 AM,180,White Bear Twp,,,1730,WHITE BEAR TWP P-4,4,38,38B,01,02,,,1309,"(45.07123296, -93.03841139)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0840,ST. PAUL W-3 P-01,4,64,64B,04,02,,,2105,"(44.92810952, -93.19439107)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1370,ST. PAUL W-6 P-09,4,67,67A,06,02,,,2376,"(44.97177384, -93.02110681)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1320,ST. PAUL W-6 P-04,4,67,67A,06,02,,,1941,"(44.98111325, -93.03582326)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0170,MAPLEWOOD P-05,4,43,43A,07,02,,,1345,"(45.00821477, -93.03203585)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1290,ST. PAUL W-6 P-01,4,66,66B,06,02,,,1436,"(44.98715479, -93.07129207)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0620,ST. PAUL W-1 P-09,4,65,65A,03,02,,,2303,"(44.96031573, -93.11667263)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1010,ST. PAUL W-4 P-02,4,66,66A,04,02,,,1310,"(44.98363283, -93.1920472)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0850,ST. PAUL W-3 P-02,4,64,64B,04,02,,,2531,"(44.93302148, -93.18145763)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1400,ST. PAUL W-6 P-12,4,67,67A,06,02,,,1176,"(44.97944763, -93.01917904)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1350,ST. PAUL W-6 P-07,4,66,66B,06,02,,,652,"(44.97383341, -93.07481222)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1130,ST. PAUL W-4 P-14,4,65,65A,04,02,,,1487,"(44.95929925, -93.16191882)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0640,ST. PAUL W-1 P-11,4,65,65A,04,02,,,1147,"(44.95345181, -93.11557741)"
02/01/2019 12:00:00 AM,170,Vadnais Heights,,,1670,VADNAIS HEIGHTS P-2,4,42,42B,01,02,,,2429,"(45.0709739, -93.06783954)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0870,ST. PAUL W-3 P-04,4,64,64B,05,02,,,1425,"(44.92249045, -93.18229521)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1040,ST. PAUL W-4 P-05,4,64,64A,04,02,,,1374,"(44.94484266, -93.18229082)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1090,ST. PAUL W-4 P-10,4,64,64A,04,02,,,2091,"(44.9466967, -93.17206454)"
02/01/2019 12:00:00 AM,120,Roseville,,,0490,ROSEVILLE P-07,4,66,66A,02,02,,,2204,"(45.01438954, -93.14103286)"
