index,Block,Address,Latitude,Longitude
273,119x charles av,"1190 Charles Ave, St Paul, MN 55104, USA",44.9573445,-93.1504538
274,119x concordia av,"1190 Concordia Ave, St Paul, MN 55104, USA",44.95107549999999,-93.1497146
275,119x edgcumbe rd,"1190 Edgcumbe Rd, St Paul, MN 55105, USA",44.9304459,-93.1497679
276,119x edmund av,"1190 Edmund Ave W, St Paul, MN 55104, USA",44.9582557,-93.1504361
277,119x hewitt av,"1190 Hewitt Ave, St Paul, MN 55104, USA",44.96637910000001,-93.1504063
278,119x lafond av,"1190 Lafond Ave, St Paul, MN 55104, USA",44.9600584,-93.15045759999998
279,119x sherburne av,"1190 Sherburne Ave, St Paul, MN 55104, USA",44.9564878,-93.15047779999999
280,119x thomas av,"1190 Thomas Ave W, St Paul, MN 55104, USA",44.9591296,-93.15045359999999
281,119x university av w,"1190 University Ave W, St Paul, MN 55104, USA",44.9549953,-93.15043860000002
282,119x vanburen av,"1190 Van Buren Ave, St Paul, MN 55104, USA",44.96186220000001,-93.1504399
283,11x como av,"110 Como Ave, St Paul, MN 55103, USA",44.958635,-93.10463
284,11x empire dr,"110 Empire Dr, St Paul, MN 55103, USA",44.961914,-93.0986667
